lon,lat,datetime
-79.18609269,27.19167472,2014-12-22
-79.18594643,27.18747211,2014-12-23
-79.17887091,27.18448634,2014-12-24
-79.15699998,27.18493579,2014-12-25
-79.12599505,27.18458104,2014-12-26
-79.08908254,27.17343871,2014-12-27
-79.05205898,27.15241772,2014-12-28
-79.02807897,27.13352811,2014-12-29
-79.02578444,27.12021992,2014-12-30
-79.04211262,27.11366766,2014-12-31
-79.07761234,27.11576327,2015-01-01
-79.12822857,27.12613399,2015-01-02
-79.18134557,27.15148347,2015-01-03
-79.17212339,27.19638595,2015-01-04
-79.15347261,27.24854817,2015-01-05
-79.1915526,27.25485027,2015-01-06
-79.20806252,27.23581839,2015-01-07
-79.19107669,27.21289255,2015-01-08
-79.18649708,27.19187086,2015-01-09
-79.20251658,27.17429056,2015-01-10
-79.20247668,27.16224486,2015-01-11
-79.17984347,27.16190738,2015-01-12
-79.1545397,27.17356195,2015-01-13
-79.14704808,27.18394993,2015-01-14
-79.15755073,27.18955357,2015-01-15
-79.16614998,27.19232412,2015-01-16
-79.17056681,27.19397364,2015-01-17
-79.17163837,27.19303967,2015-01-18
-79.17626311,27.19206678,2015-01-19
-79.18765586,27.19321439,2015-01-20
-79.20506097,27.19704941,2015-01-21
-79.2238729,27.20192237,2015-01-22
-79.2410032,27.20681582,2015-01-23
-79.25336341,27.21071246,2015-01-24
-79.25786507,27.21259516,2015-01-25
-79.25141973,27.21144674,2015-01-26
-79.23369305,27.20702556,2015-01-27
-79.20619098,27.19175632,2015-01-28
-79.18520758,27.16077081,2015-01-29
-79.18233793,27.13523448,2015-01-30
-79.19824506,27.11375934,2015-01-31
-79.23220622,27.09101323,2015-02-01
-79.25559328,27.07618152,2015-02-02
-79.2447418,27.07808452,2015-02-03
-79.22187128,27.08481056,2015-02-04
-79.20114063,27.08897775,2015-02-05
-79.1943394,27.08481286,2015-02-06
-79.19938955,27.07093617,2015-02-07
-79.19885267,27.064004,2015-02-08
-79.18319504,27.07433105,2015-02-09
-79.16220307,27.08958872,2015-02-10
-79.14148143,27.1023326,2015-02-11
-79.12589944,27.10642373,2015-02-12
-79.12291897,27.09438428,2015-02-13
-79.13159746,27.08218409,2015-02-14
-79.15348094,27.07947303,2015-02-15
-79.17445079,27.08784459,2015-02-16
-79.18270154,27.11013359,2015-02-17
-79.17193563,27.14488648,2015-02-18
-79.14608348,27.19170355,2015-02-19
-79.13245476,27.23627072,2015-02-20
-79.13659215,27.26917345,2015-02-21
-79.15252068,27.28153444,2015-02-22
-79.17258809,27.2846932,2015-02-23
-79.19089386,27.28697984,2015-02-24
-79.2023228,27.29599739,2015-02-25
-79.20035368,27.32122444,2015-02-26
-79.19412045,27.35742282,2015-02-27
-79.19357477,27.40330061,2015-02-28
-79.20631582,27.45852441,2015-03-01
-79.22109757,27.51188929,2015-03-02
-79.2306343,27.55535168,2015-03-03
-79.2276403,27.58087902,2015-03-04
-79.20482983,27.58043956,2015-03-05
-79.15491717,27.54598605,2015-03-06
-79.08263057,27.48303177,2015-03-07
-79.00638895,27.38639405,2015-03-08
-78.96906577,27.28959084,2015-03-09
-78.99132685,27.21480007,2015-03-10
-79.05052318,27.16388947,2015-03-11
-79.11283689,27.12935963,2015-03-12
-79.1561451,27.11017286,2015-03-13
-79.17160133,27.10591912,2015-03-14
-79.16863592,27.11694433,2015-03-15
-79.15991155,27.14310891,2015-03-16
-79.16258984,27.17877153,2015-03-17
-79.16921722,27.22567254,2015-03-18
-79.17310731,27.28684505,2015-03-19
-79.17553151,27.35563194,2015-03-20
-79.1778757,27.42479285,2015-03-21
-79.15017205,30.03469654,2015-04-29
-79.18979567,30.03727641,2015-04-30
-79.36004218,30.56325017,2015-05-01
-79.14344351,31.25907186,2015-05-02
-78.18131938,31.99276988,2015-05-03
-77.80893344,32.68832064,2015-05-04
-77.94600146,33.0684378,2015-05-05
-78.5765565,33.03805373,2015-05-06
-78.95142298,32.65250447,2015-05-07
-79.51040341,32.23244886,2015-05-08
-79.58866245,31.95777706,2015-05-09
-79.55959665,32.00082908,2015-05-10
-79.48507456,32.30698613,2015-05-11
-79.02793083,32.65591775,2015-05-12
-78.36066638,32.92191442,2015-05-13
-77.73739382,33.11612452,2015-05-14
-77.454952,33.32836759,2015-05-15
-77.10122497,33.44807339,2015-05-16
-77.07110931,33.56346432,2015-05-17
-77.42672196,33.68194011,2015-05-18
-77.41380966,33.76673853,2015-05-19
-77.17720412,33.83183675,2015-05-20
-77.06438586,33.90523393,2015-05-21
-77.02922149,33.98379986,2015-05-22
-77.05228067,34.0662119,2015-05-23
-77.11413306,34.15115184,2015-05-24
-77.19528108,34.23730188,2015-05-25
