,lon,lat,datetime,adt,ugos,vgos,vgosa,err,sla,ugosa,mag
163,-79.47292959,30.60083551,2015-05-14,0.6722,0.23800000000000002,0.5691,-0.1044,0.0606,0.0697,-0.029,0.6168620672403192
164,-78.35702836,30.49668151,2015-05-15,0.8669,0.25170000000000003,-0.009300000000000001,0.1125,0.021,0.1704,0.3121,0.251871753080809
165,-78.08500046,30.51528373,2015-05-16,0.8136,0.22340000000000002,-0.2134,-0.1188,0.029300000000000003,0.1208,0.30210000000000004,0.3089451731294729
166,-78.13205972,30.27217294,2015-05-17,0.8777,0.1496,-0.1835,-0.09480000000000001,0.0205,0.2049,0.2136,0.23675390176299102
167,-77.98800212,30.24211556,2015-05-18,0.8578,-0.07680000000000001,-0.1252,-0.09530000000000001,0.019200000000000002,0.2162,-0.0475,0.14687845315089618
168,-77.74560021,30.57235346,2015-05-19,0.778,0.37260000000000004,-0.45280000000000004,-0.46740000000000004,0.0298,0.11560000000000001,0.4395,0.5863945770554159
169,-77.49942458,30.75753147,2015-05-20,0.6224000000000001,0.2934,-0.5948,-0.6432,0.023100000000000002,-0.051000000000000004,0.3577,0.6632274119787269
170,-76.94267251,30.61693481,2015-05-21,0.7006,0.6917,0.1632,0.08360000000000001,0.0263,0.0246,0.7534000000000001,0.7106920078346174
171,-77.10351933,30.75068845,2015-05-22,0.6007,0.4202,-0.23520000000000002,-0.31620000000000004,0.0238,-0.076,0.4727,0.48154655019011405
172,-77.59981244,30.92946334,2015-05-23,0.8369000000000001,0.2805,-0.45840000000000003,-0.46580000000000005,0.031400000000000004,0.15760000000000002,0.35600000000000004,0.5374112112712202
173,-77.81558699,30.42495169,2015-05-24,0.9869,0.0222,-0.129,-0.09340000000000001,0.0233,0.331,0.0767,0.1308962948291509
174,-78.16216146,29.93738973,2015-05-25,0.897,-0.5024000000000001,0.0034000000000000002,0.0746,0.0145,0.2386,-0.4963,0.5024115046453456
175,-78.6431123,29.67770093,2015-05-26,0.7675000000000001,-0.2589,0.1221,0.2326,0.0352,0.0898,-0.2406,0.28624748033825553
176,-79.10738209,29.56702127,2015-05-27,0.7743,-0.044700000000000004,-0.0752,-0.0704,0.0194,0.0683,-0.012700000000000001,0.08748216961187005
177,-79.43186849,29.55775721,2015-05-28,0.7693,0.024,0.25170000000000003,-0.0869,0.0284,0.0945,0.038400000000000004,0.25284163027476314
178,-79.53632994,29.58989813,2015-05-29,0.6605000000000001,0.0251,1.0708,0.14350000000000002,0.031200000000000002,0.1012,0.030600000000000002,1.0710941368525924
179,-79.47776862,29.62575735,2015-05-30,0.7891,0.0567,0.24680000000000002,-0.0918,0.030100000000000002,0.1143,0.0712,0.2532294019263956
180,-79.32667114,29.66223592,2015-05-31,0.7957000000000001,0.0514,0.2366,-0.10210000000000001,0.0309,0.12090000000000001,0.0658,0.24211881380842754
181,-79.2587568,29.59841346,2015-06-01,0.8009000000000001,0.0644,0.1862,-0.1524,0.0318,0.12610000000000002,0.07880000000000001,0.19702233375939898
182,-79.3482846,29.68610535,2015-06-02,0.8111,0.0329,0.1995,-0.1391,0.0316,0.1364,0.0473,0.20219460922586438
183,-79.43229482,29.90027645,2015-06-03,0.8134,0.0442,0.24910000000000002,-0.1282,0.0302,0.13390000000000002,0.0081,0.25299100774533473
184,-79.3388739,30.05224621,2015-06-04,0.81,0.094,0.38380000000000003,-0.07250000000000001,0.0291,0.1365,-0.0102,0.3951435688455527
185,-78.96030338,30.10704701,2015-06-05,0.8141,-0.22060000000000002,-0.0792,-0.017,0.0241,0.0989,-0.21030000000000001,0.23438643305447526
186,-78.63981867,30.65338692,2015-06-06,0.9019,-0.1598,0.14800000000000002,0.1844,0.020300000000000002,0.17420000000000002,-0.1463,0.21780734606527852
187,-78.54709571,30.97398176,2015-06-07,0.9134,-0.0714,0.2298,0.1975,0.0201,0.17980000000000002,-0.10540000000000001,0.24063665556186573
188,-78.14429652,31.11427811,2015-06-08,0.8826,0.196,-0.18000000000000002,-0.1203,0.049600000000000005,0.1686,0.187,0.26611275805567836
189,-78.2798669,31.13707294,2015-06-09,0.8996000000000001,0.11900000000000001,-0.0083,-0.02,0.0388,0.17250000000000001,0.0395,0.1192891026037165
190,-78.3579608,31.156242,2015-06-10,0.8901,0.054900000000000004,0.049,0.037200000000000004,0.0412,0.163,-0.0245,0.07358675152498581
191,-78.62180469,30.83721508,2015-06-11,0.8259000000000001,-0.1257,0.2233,0.191,0.0264,0.09230000000000001,-0.1597,0.2562486682892225
192,-78.92391462,30.72477774,2015-06-12,0.7587,-0.0375,0.09630000000000001,-0.0031000000000000003,0.038200000000000005,0.0367,-0.0751,0.10334379516932791
193,-79.02217385,30.78338759,2015-06-13,0.7152000000000001,0.11470000000000001,0.2969,-0.1464,0.053200000000000004,0.0687,-0.152,0.3182855636060172
194,-79.00946714,30.75764501,2015-06-14,0.7173,0.0687,0.3385,-0.1048,0.055900000000000005,0.0708,-0.19790000000000002,0.3454011291238059
195,-79.01036269,30.69224736,2015-06-15,0.7026,-0.06960000000000001,0.1665,-0.1187,0.0567,0.018500000000000003,-0.19690000000000002,0.18046165797753275
196,-79.09298198,30.78288351,2015-06-16,0.7159,0.014100000000000001,0.3513,-0.092,0.056400000000000006,0.0694,-0.2526,0.3515828494110599
197,-78.95982534,30.71127639,2015-06-17,0.7311000000000001,-0.1568,0.0721,-0.0273,0.036500000000000005,0.0091,-0.19440000000000002,0.17258229920823281
198,-79.10057996,30.93470381,2015-06-18,0.6912,0.0483,0.39,-0.0533,0.0528,0.044700000000000004,-0.2184,0.3929795032822959
199,-79.16970941,30.95521822,2015-06-19,0.6867000000000001,0.0606,0.40900000000000003,-0.034300000000000004,0.049600000000000005,0.0402,-0.2061,0.41346506502968305
200,-78.82356158,30.70189214,2015-06-20,0.7162000000000001,-0.11620000000000001,0.0166,-0.0828,0.0287,-0.0057,-0.15380000000000002,0.1173797256769669
201,-78.65012034,30.92096873,2015-06-21,0.7472000000000001,-0.11370000000000001,0.018000000000000002,-0.0142,0.0175,0.013600000000000001,-0.1477,0.11511598498905355
202,-78.61357229,31.15931383,2015-06-22,0.7516,-0.012400000000000001,0.08850000000000001,-0.0671,0.016800000000000002,0.035300000000000005,-0.2112,0.08936447840165578
203,-78.82574629,31.0717911,2015-06-23,0.7002,0.1386,0.2564,-0.10210000000000001,0.025900000000000003,0.0325,-0.20550000000000002,0.2914634110827635
204,-78.87688757,30.8969858,2015-06-24,0.7149,0.10840000000000001,0.10400000000000001,-0.09620000000000001,0.0292,0.004,-0.020800000000000003,0.15022170282618955
205,-78.52192035,30.88226056,2015-06-25,0.7215,0.057300000000000004,-0.0596,-0.0918,0.0219,-0.012100000000000001,0.0233,0.08267678029531629
206,-78.00529988,31.29893829,2015-06-26,0.7259,0.1971,0.19970000000000002,0.14120000000000002,0.033,0.0323,-0.0227,0.2805859939483794
207,-77.21393257,31.80345445,2015-06-27,0.8256,0.1459,0.2962,0.1106,0.028900000000000002,0.1816,-0.068,0.3301836610130792
208,-76.3369851,31.84077795,2015-06-28,0.9288000000000001,0.0362,-0.1839,-0.3025,0.0227,0.2063,0.0159,0.18742905324415424
209,-75.98180374,31.49881521,2015-06-29,0.7588,-0.058600000000000006,-0.0546,-0.0285,0.029300000000000003,0.0397,-0.0091,0.08009444425177069
210,-76.06470519,31.3279429,2015-06-30,0.7931,-0.2462,-0.2025,-0.2238,0.0236,0.0694,-0.20090000000000002,0.31878000250956773
211,-75.60258087,31.26738058,2015-07-01,0.7696000000000001,0.1034,0.1182,0.1472,0.048400000000000006,0.0579,0.1457,0.15704394289497445
212,-74.69159438,31.39671726,2015-07-02,0.8399000000000001,0.403,0.056600000000000004,0.08940000000000001,0.023100000000000002,0.168,0.44480000000000003,0.40695523095298825
213,-73.98331371,31.33889097,2015-07-03,0.8036000000000001,0.3502,-0.1841,-0.2087,0.027200000000000002,0.1432,0.40090000000000003,0.395642325844948
214,-73.59395568,31.23167468,2015-07-04,0.8200000000000001,0.2058,-0.2646,-0.29660000000000003,0.0275,0.1703,0.2706,0.3352115749791466
215,-73.29638943,31.23787509,2015-07-05,0.776,0.13140000000000002,-0.19970000000000002,-0.23,0.0204,0.11900000000000001,0.2071,0.23905240011344794
216,-73.29841024,31.47438355,2015-07-06,0.7427,0.2157,-0.1178,-0.15910000000000002,0.020300000000000002,0.06770000000000001,0.2636,0.24577088924443433
217,-73.04951667,31.53920009,2015-07-07,0.6841,0.19310000000000002,-0.0892,-0.10450000000000001,0.0238,-0.006200000000000001,0.20140000000000002,0.21270695804321965
218,-73.38202063,31.48986474,2015-07-08,0.7389,0.19260000000000002,-0.076,-0.11720000000000001,0.020800000000000003,0.0639,0.24050000000000002,0.20705255371523434
219,-73.73411858,31.54359219,2015-07-09,0.6978000000000001,0.22080000000000002,-0.0048000000000000004,-0.038400000000000004,0.0233,0.0158,0.26830000000000004,0.220852167750285
220,-73.77892855,31.63145686,2015-07-10,0.6993,0.2596,-0.0539,-0.0908,0.023200000000000002,0.023200000000000002,0.3175,0.2651365120084369
221,-74.21633889,31.64257251,2015-07-11,0.7125,0.3446,-0.1787,-0.19340000000000002,0.0207,0.039,0.4027,0.38817888917353555
222,-78.36968744,31.21926421,2015-09-10,1.0607,0.1217,0.17800000000000002,0.16620000000000001,0.0298,0.3336,0.0422,0.21562673767415766
223,-78.18499451,30.96583978,2015-09-11,1.0401,-0.3074,-0.0994,-0.0002,0.0297,0.332,-0.2439,0.3230713853005246
224,-78.35856508,31.23166956,2015-09-12,1.0719,0.0698,0.1872,0.1754,0.0269,0.3448,-0.0097,0.19978958931836263
225,-78.6838565,31.71413959,2015-09-13,0.7919,0.908,0.7328,0.23020000000000002,0.0227,0.2969,0.0596,1.1668161123330447
226,-78.42085849,32.09454621,2015-09-14,0.37470000000000003,1.3495000000000001,0.4565,0.0297,0.026500000000000003,0.2268,0.46990000000000004,1.424620124805206
227,-77.25127624,31.9238739,2015-09-15,0.9678,0.6331,0.2006,-0.09580000000000001,0.027700000000000002,0.3662,0.2315,0.6641204484127861
228,-77.82457918,31.38960417,2015-09-16,0.9758,-0.1492,-0.1831,-0.1935,0.0211,0.2902,-0.28390000000000004,0.23619113023142932
229,-78.41607074,31.18966866,2015-09-17,1.0068000000000001,-0.0443,-0.09390000000000001,-0.1057,0.023,0.2797,-0.12380000000000001,0.10382533409529682
230,-78.68865729,31.34255011,2015-09-18,0.9460000000000001,0.3794,0.2651,-0.0645,0.024800000000000003,0.30160000000000003,-0.1208,0.4628416251807955
231,-78.74917057,31.42840194,2015-09-19,0.936,0.3547,0.2227,-0.10690000000000001,0.025400000000000002,0.29150000000000004,-0.14550000000000002,0.4188166424582481
232,-78.59035061,31.39073055,2015-09-20,0.9232,0.3546,0.2005,-0.1292,0.0257,0.2787,-0.1456,0.40735906765407837
233,-78.46518432,31.29874679,2015-09-21,0.9214,0.24050000000000002,0.0371,-0.1368,0.029,0.2381,-0.10980000000000001,0.24334473489270322
234,-78.53103786,31.19764108,2015-09-22,0.9321,0.029400000000000003,0.0422,-0.1134,0.0219,0.2159,-0.1694,0.051431507852677236
235,-79.49092434,31.42766114,2015-09-23,0.5785,0.6788000000000001,0.8077000000000001,-0.224,0.0346,0.3405,-0.12340000000000001,1.055058638180836
236,-78.70252725,32.04568089,2015-09-24,0.325,0.7132000000000001,0.4747,0.0942,0.036500000000000005,0.2421,0.0012000000000000001,0.8567346905547831
237,-78.64974617,32.3748048,2015-09-25,0.227,0.1703,0.2989,0.1409,0.0395,0.258,-0.0824,0.3440106103014848
238,-78.23238489,32.29553744,2015-09-26,0.34290000000000004,0.5125000000000001,0.3427,0.003,0.0334,0.3038,-0.066,0.6165221326116364
239,-78.19001063,32.62574956,2015-09-27,0.2858,0.1023,0.0424,-0.10940000000000001,0.032,0.314,0.0086,0.1107386563039303
240,-77.99464604,32.68072665,2015-09-28,0.2818,0.3639,0.1631,-0.1268,0.043500000000000004,0.28040000000000004,0.09670000000000001,0.3987791619430484
241,-76.74450088,32.91400317,2015-09-29,0.7787000000000001,0.3245,0.5634,-0.24860000000000002,0.0263,0.3504,-0.32530000000000003,0.650169062629098
242,-76.22045134,32.67168391,2015-09-30,0.8929,-0.255,0.0097,-0.20450000000000002,0.0279,0.1806,-0.4045,0.25518442350582454
243,-76.48947033,32.29418113,2015-10-01,0.8136,-0.0543,0.26430000000000003,0.009300000000000001,0.0235,0.11760000000000001,-0.17830000000000001,0.2698202735155385
244,-76.54495954,32.05357674,2015-10-02,0.7894,0.2579,0.2636,0.048400000000000006,0.024,0.10930000000000001,0.1484,0.3687782124800759
245,-76.94113741,31.71037534,2015-10-03,0.9305,0.1817,0.0833,-0.021,0.0217,0.23720000000000002,0.1039,0.1998844166011948
246,-77.55431244,31.32229953,2015-10-04,0.9091,0.24100000000000002,0.0634,0.0184,0.058,0.2247,0.1627,0.24919983948630467
247,-78.26394229,30.95529092,2015-10-05,0.9,0.07,0.27040000000000003,0.3415,0.0223,0.1729,0.10060000000000001,0.2793137304179657
248,-78.94948462,30.67629729,2015-10-06,0.9227000000000001,0.2983,0.1323,0.033,0.0284,0.2008,0.2607,0.32632220273833656
249,-79.49039708,30.55286773,2015-10-07,0.7989,0.46,0.5910000000000001,-0.0825,0.0439,0.19640000000000002,0.19290000000000002,0.7489198889066842
250,-79.80207427,30.61254574,2015-10-08,0.5181,0.3286,0.7898000000000001,-0.4932,0.028900000000000002,0.30770000000000003,-0.053500000000000006,0.8554308855775551
251,-79.51622867,30.99299021,2015-10-09,0.5415,0.4655,0.6997,-0.5168,0.030600000000000002,0.2079,-0.0947,0.8403989171815965
